datetime,currency,impact,event,actual,forecast,previous
2021-04-30 14:00:00+00:00,USD,2,Michigan Consumer Sentiment Index,88.3,87.5,86.5
2021-04-30 14:00:00+00:00,USD,2,UoM 1-year Consumer Inflation Expectations,3.4,,3.7
2021-04-30 14:00:00+00:00,USD,2,UoM 5-year Consumer Inflation Expectation,2.7,,2.7
2021-05-02 22:30:00+00:00,AUD,2,AiG Performance of Mfg Index,61.7,,59.9
2021-05-03 01:00:00+00:00,AUD,2,TD-MI Inflation Gauge (MoM),0.4,,0.4
2021-05-03 01:00:00+00:00,AUD,2,TD-MI Inflation Gauge (YoY),2.3,,1.8
2021-05-03 06:00:00+00:00,EUR,2,Retail Sales (MoM),7.7,3.0,1.2
2021-05-03 06:00:00+00:00,EUR,3,Retail Sales (YoY),11.0,-3.1,-9.0
2021-05-03 07:55:00+00:00,EUR,2,HCOB Manufacturing PMI,,66.4,
2021-05-03 13:30:00+00:00,CAD,2,S&P Global Manufacturing PMI,,,
2021-05-03 13:45:00+00:00,USD,2,S&P Global Manufacturing PMI,,60.6,
2021-05-03 14:00:00+00:00,USD,2,ISM Manufacturing Employment Index,55.1,61.5,59.6
2021-05-03 14:00:00+00:00,USD,2,ISM Manufacturing New Orders Index,64.3,66.6,68.0
2021-05-03 14:00:00+00:00,USD,3,ISM Manufacturing PMI,60.7,65.0,64.7
2021-05-03 14:00:00+00:00,USD,2,ISM Manufacturing Prices Paid,89.6,86.1,85.6
2021-05-03 18:10:00+00:00,USD,2,Fed's Williams speech,,,
2021-05-03 18:20:00+00:00,USD,3,Fed's Chair Powell speech,,,
2021-05-04 01:30:00+00:00,AUD,2,Exports (MoM),-2.0,,-1.0
2021-05-04 01:30:00+00:00,AUD,2,Imports (MoM),4.0,,5.0
2021-05-04 01:30:00+00:00,AUD,3,Trade Balance (MoM),5574.0,8000.0,7529.0
2021-05-04 04:30:00+00:00,AUD,3,RBA Interest Rate Decision,0.1,0.1,0.1
2021-05-04 04:30:00+00:00,AUD,3,RBA Rate Statement,,,
2021-05-04 08:30:00+00:00,GBP,2,S&P Global Manufacturing PMI,,60.7,
2021-05-04 12:30:00+00:00,CAD,2,International Merchandise Trade,-1.14,0.7,1.04
2021-05-04 12:30:00+00:00,USD,2,Goods and Services Trade Balance,-74.4,-74.5,-71.1
2021-05-04 14:00:00+00:00,USD,2,Factory Orders (MoM),1.1,1.3,-0.8
2021-05-04 21:00:00+00:00,NZD,2,RBNZ Financial Stability Report,,,
2021-05-04 22:30:00+00:00,AUD,2,AiG Performance of Construction Index,59.1,,61.8
2021-05-04 22:45:00+00:00,NZD,3,Employment Change,0.6,0.2,0.6
2021-05-04 22:45:00+00:00,NZD,2,Labour Cost Index (QoQ),0.4,0.3,0.5
2021-05-04 22:45:00+00:00,NZD,2,Participation Rate,70.4,70.3,70.2
2021-05-04 22:45:00+00:00,NZD,3,Unemployment Rate,4.7,4.9,4.9
2021-05-04 23:00:00+00:00,AUD,2,S&P Global Services PMI,,58.6,
2021-05-05 01:30:00+00:00,AUD,2,Building Permits (MoM),17.4,3.0,21.6
2021-05-05 07:55:00+00:00,EUR,2,HCOB Composite PMI,,56.0,
2021-05-05 08:00:00+00:00,EUR,2,HCOB Composite PMI,,53.7,
2021-05-05 12:15:00+00:00,USD,3,ADP Employment Change,742.0,800.0,517.0
2021-05-05 13:45:00+00:00,USD,2,S&P Global Composite PMI,,62.2,
2021-05-05 13:45:00+00:00,USD,2,S&P Global Services PMI,,63.1,
2021-05-05 14:00:00+00:00,EUR,2,ECB's Lane speech,,,
2021-05-05 14:00:00+00:00,USD,2,ISM Services Employment Index,58.8,55.0,57.2
2021-05-05 14:00:00+00:00,USD,2,ISM Services New Orders Index,63.2,56.6,67.2
