datetime,currency,impact,event,actual,forecast,previous
2011-01-07 11:00:00+00:00,EUR,2,German Industrial Production,-0.7,-0.10,vised From 2.9
2011-01-07 12:00:00+00:00,CAD,3,Employment Change,22,20.30,15.2
2011-01-07 12:00:00+00:00,CAD,2,Unemployment Rate,7.6,7.70,7.6
2011-01-07 13:30:00+00:00,USD,2,Average Hourly Earnings,0.1,0.10,0
2011-01-07 13:30:00+00:00,USD,3,Nonfarm Payrolls,103,150.00,"vised From 39K>71                                 """
2011-01-07 13:30:00+00:00,USD,2,Private Nonfarm Payrolls,113,162.00,"vised From 50K>79                                 """
2011-01-07 13:30:00+00:00,USD,3,Unemployment Rate,9.4,9.70,9.8
2011-01-07 14:30:00+00:00,USD,3,Fed Chairman Bernanke Testifies,,,
2011-01-07 17:00:00+00:00,USD,2,U.S. Baker Hughes Oil Rig Count,777,,765
2011-01-07 20:30:00+00:00,GBP,2,CFTC GBP speculative net positions,-14.1,,-13.1
2011-01-07 20:30:00+00:00,USD,2,CFTC Crude Oil speculative net positions,149.5k,,162.6k
2011-01-07 20:30:00+00:00,USD,2,CFTC Gold speculative net positions,202.3,,215.8
2011-01-07 20:30:00+00:00,AUD,2,CFTC AUD speculative net positions,62.5,,64.3
2011-01-07 20:30:00+00:00,JPY,2,CFTC JPY speculative net positions,39.1,,29.6
2011-01-07 20:30:00+00:00,EUR,2,CFTC EUR speculative net positions,-24.2,,-26.5
2011-01-09 21:45:00+00:00,NZD,2,Trade Balance,-186,-151.00,"vised From -319M>-224                             """
2011-01-10 00:30:00+00:00,AUD,3,Retail Sales,0.3,0.3,vised From -1.1
2011-01-10 03:00:00+00:00,CNY,2,Trade Balance (USD),13.1,24.00,22.9
2011-01-10 08:00:00+00:00,GBP,2,Halifax House Price Index,-1.3,-0.30,vised From -0.1
2011-01-10 08:15:00+00:00,CHF,2,Retail Sales,2.5,0.90,3.5
2011-01-10 12:00:00+00:00,EUR,3,ECB President Trichet Speaks,,,
2011-01-10 13:30:00+00:00,CAD,2,Building Permits,-11.2,0.80,vised From -6.5
2011-01-10 21:00:00+00:00,NZD,2,NZIER Business Confidence,8,,6
2011-01-10 21:45:00+00:00,NZD,2,Building Consents,8.8,,vised From -2.0
2011-01-11 00:01:00+00:00,GBP,2,BRC Retail Sales Monitor,-0.3,,0.7
2011-01-11 00:30:00+00:00,AUD,2,Trade Balance,1.93,2.05,"vised From 2.63B>2.56                             """
2011-01-11 13:15:00+00:00,CAD,2,Housing Starts,172,178.00,"vised From 187.00K>198.00                         """
2011-01-11 23:50:00+00:00,JPY,2,Adjusted Current Account,1.15,0.99,1.46
2011-01-12 00:30:00+00:00,AUD,2,Home Loans,2.5,-1.00,vised From 1.9
2011-01-12 09:30:00+00:00,GBP,2,Trade Balance,-8.7,-8.20,"vised From -8.5B>-8.6                             """
2011-01-12 10:00:00+00:00,EUR,2,Industrial Production,1.2,0.50,0.7
2011-01-12 13:30:00+00:00,USD,2,Import Price Index,1.1,1.20,vised From 1.3
2011-01-12 13:30:00+00:00,USD,2,Treasury Secretary Geithner Speaks,,,
2011-01-12 13:30:00+00:00,CAD,2,New Housing Price Index,0.3,0.10,0.1
2011-01-12 15:30:00+00:00,USD,3,Crude Oil Inventories,-2.2,0.40,-4.2
2011-01-12 18:00:00+00:00,USD,2,FOMC Member Fisher Speaks,,,
2011-01-12 18:00:00+00:00,CHF,2,SNB Board Member Jordan Speaks,,,
2011-01-12 19:00:00+00:00,USD,2,Beige Book,,,
2011-01-12 19:00:00+00:00,USD,2,Federal Budget Balance,-80,-80.00,-150.4
2011-01-13 00:30:00+00:00,AUD,3,Employment Change,2.3,25.00,54.6
2011-01-13 00:30:00+00:00,AUD,2,Unemployment Rate,5,5.10,5.2
2011-01-13 09:30:00+00:00,GBP,2,Industrial Production,0.4,0.50,vised From -0.2
2011-01-13 09:30:00+00:00,GBP,3,Manufacturing Production,0.6,0.40,0.6
2011-01-13 12:00:00+00:00,GBP,3,BoE Interest Rate Decision,0.5,0.50,0.5
2011-01-13 12:45:00+00:00,EUR,3,ECB Interest Rate Decision,1,1.00,1
2011-01-13 13:30:00+00:00,USD,2,Core PPI,0.2,0.20,0.3
2011-01-13 13:30:00+00:00,USD,2,Initial Jobless Claims,445,404.00,"vised From 409K>410                               """
2011-01-13 13:30:00+00:00,USD,3,PPI,1.1,0.70,0.8
2011-01-13 13:30:00+00:00,USD,2,Trade Balance,-38.3,-40.60,"vised From -38.7B>-38.4                           """
2011-01-13 13:30:00+00:00,CAD,2,Trade Balance,-0.1,-2.00,"vised From -1.7B>-1.5                             """
2011-01-13 13:30:00+00:00,EUR,3,ECB Press Conference,,,
2011-01-13 15:00:00+00:00,GBP,2,NIESR GDP Estimate,0.5,,0.6
2011-01-13 18:00:00+00:00,USD,3,Fed Chairman Bernanke Speaks,,,
2011-01-14 07:00:00+00:00,EUR,2,German CPI,1,1.00,1
2011-01-14 08:15:00+00:00,CHF,2,PPI,0.3,0.10,-0.2
2011-01-14 09:30:00+00:00,GBP,2,PPI Input,3.4,1.70,0.9
2011-01-14 10:00:00+00:00,EUR,2,Core CPI,1.1,1.10,1.1
2011-01-14 10:00:00+00:00,EUR,3,CPI,2.2,2.20,2.2
2011-01-14 10:00:00+00:00,EUR,2,Trade Balance,-1.9,4.20,"vised From 3.6B>3.5                               """
2011-01-14 13:30:00+00:00,USD,3,Core CPI,0.1,0.10,0.1
2011-01-14 13:30:00+00:00,USD,3,Core Retail Sales,0.5,0.60,vised From 1.2
2011-01-14 13:30:00+00:00,USD,2,CPI,0.5,0.40,0.1
2011-01-14 13:30:00+00:00,USD,3,Retail Sales,0.6,0.70,0.8
2011-01-14 14:15:00+00:00,USD,2,Industrial Production,0.8,0.40,vised From 0.4
2011-01-14 14:55:00+00:00,USD,2,Michigan Consumer Sentiment,72.7,75.50,74.5
2011-01-14 15:00:00+00:00,USD,2,Business Inventories,0.2,0.70,vised From 0.7
2011-01-14 17:00:00+00:00,USD,2,U.S. Baker Hughes Oil Rig Count,789,,777
2011-01-14 20:30:00+00:00,GBP,2,CFTC GBP speculative net positions,-5.1,,-14.1
2011-01-14 20:30:00+00:00,USD,2,CFTC Crude Oil speculative net positions,169.1k,,149.5k
2011-01-14 20:30:00+00:00,USD,2,CFTC Gold speculative net positions,177.4,,202.3
2011-01-14 20:30:00+00:00,AUD,2,CFTC AUD speculative net positions,53.5,,62.5
2011-01-14 20:30:00+00:00,JPY,2,CFTC JPY speculative net positions,24.7,,39.1
2011-01-14 20:30:00+00:00,EUR,2,CFTC EUR speculative net positions,-45.2,,-24.2
2011-01-17 13:30:00+00:00,CAD,2,Foreign Securities Purchases,8.01,10.42,"vised From 9.51B>9.71                             """
2011-01-18 00:01:00+00:00,GBP,2,Nationwide Consumer Confidence,53,49.00,45
2011-01-18 00:01:00+00:00,GBP,2,RICS House Price Balance,-39,-43.00,-44
2011-01-18 04:30:00+00:00,JPY,2,Industrial Production,1,1.00,1
2011-01-18 09:30:00+00:00,GBP,3,CPI,3.7,3.30,3.3
2011-01-18 10:00:00+00:00,EUR,3,German ZEW Economic Sentiment,15.4,6.30,4.3
2011-01-18 10:00:00+00:00,EUR,2,ZEW Economic Sentiment,25.4,17.30,15.5
2011-01-18 13:30:00+00:00,USD,2,NY Empire State Manufacturing Index,11.9,12.00,"vised From 10.6>9.9                               """
2011-01-18 14:00:00+00:00,USD,2,TIC Net Long-Term Transactions,85.1,46.70,"vised From 27.6B>28.9                             """
2011-01-18 14:00:00+00:00,CAD,3,BoC Interest Rate Decision,1,1.00,1
2011-01-18 20:00:00+00:00,NZD,2,GlobalDairyTrade Price Index,0.7,,5.8
2011-01-18 23:30:00+00:00,AUD,2,Westpac Consumer Sentiment,-5.7,,0.2
2011-01-18 23:50:00+00:00,JPY,2,Tertiary Industry Activity Index,0.6,0.60,vised From 0.5
2011-01-19 09:30:00+00:00,GBP,3,Average Earnings Index +Bonus,2.1,2.20,vised From 2.2
